case_id,split,condition,domain,weather,ems_variant,controller_group,baseline_group,metric,baseline_value,controller_mean,delta_mean,delta_std,improvement_pct,n
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.13291011370993228,-0.03470184460705554,0.009846727675163253,20.703680665449532,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.0479426867385319,-0.003922408810572081,0.001400772646609957,7.562713939008341,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.04057329705876488,-0.004379007165959627,0.0019355313735269506,9.741452060095066,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.05140378174164426,-0.007287305160785818,0.00500066463232485,12.416374521910736,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,37.916666666666664,6.249999999999998,2.6220221204253784,19.736842105263154,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.056289122497793144,0.00042548341934642157,0.0004186388149777145,-0.7616464418813369,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.13258587417004883,-0.03502608414693899,0.009598203243088188,20.897127208965387,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.047902959758446294,-0.003962135790657689,0.0013905702269110514,7.639310693848975,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.040529971629487474,-0.0044223325952370395,0.0019343721239140138,9.837832946513748,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.051372132733402597,-0.00731895416902748,0.004956474945250261,12.470299248665716,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,37.91666666666667,6.249999999999999,2.8987545218210147,19.736842105263154,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.05633456967754752,0.00047093059910078975,0.00042761703960052705,-0.8430002177972753,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_floor085,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,5
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,v3_meta_rl_ungated,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.1446630265879792,-0.02294893172900867,0.021001912877625033,13.691703121568235,5
