split,controller_group,policy,seed,task_idx,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,battery_limit_usage_peak_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,action_magnitude_mean_delta,action_rate_mean_delta
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,50,0.19741115987903868,-0.0016011676560066523,0.0,-0.00018670650045944648,-0.0008070034713597574,0.0,-1.8665450348884227e-07,0.0,5.98721089541121e-05,0.0,0.0006555755448547362,0.20451297589616543,0.027642890005760513
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,51,-0.0981660402419493,0.00025538346934561584,0.0,1.1494486902310919e-05,1.7136625857894217e-05,0.0,0.0,3.8128495165268284e-05,-1.0177783046905198e-06,0.0,-1.2852469393420662e-05,0.057892948400371506,0.0048816674912814054
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,52,-0.23054866310799582,0.0006449079237825228,1.0,5.5486857369210774e-05,0.00013251960996096823,0.0,0.0,0.00018724922087132168,-7.415961149767614e-06,0.0,-9.938970747053189e-05,0.09170925396452528,0.012622486362912848
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,53,-35.846906548686434,0.10799148596781007,29.0,0.014663767937784455,0.01983320465417948,2.0,0.008186622677165833,0.0,-0.0018449390661045562,0.0,0.03488861699069612,0.4370782696603176,0.05599230953569833
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,54,0.17415920154206788,-0.0006648268783041797,0.0,-0.0001367300758943063,-0.0004192526874410296,0.0,0.0,-0.00019529195738066107,2.611583579630039e-05,0.0,0.0003144395155806612,0.06622006525528074,0.0073522721669481445
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,55,-0.044852125140984356,-1.2816319011184352e-05,0.0,-2.537267758943862e-06,-2.2904450682093014e-05,0.0,0.0,0.0,2.183560544669061e-07,0.0,-1.9209796415148306e-05,0.060044678632402794,0.004258704794726024
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,56,-0.0360290888038719,-7.097672932143695e-05,0.0,-3.991548971932213e-06,-9.372259437012698e-05,0.0,0.0,6.236111796220634e-05,5.0128500430346445e-06,0.0,7.029194577759523e-05,0.07126326349337535,0.008452718228606196
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,57,1.0034930202120051,-0.005487651221604661,-1.0,-0.00023932220534250703,-0.00033154508649824166,0.0,-0.00011097007455821394,-0.002085216328918782,2.500576965555612e-05,0.0,0.00024865881487362573,0.09685554389932399,0.013131632770334061
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,58,5.821125939355582,-0.017600448522379977,-5.0,-0.0029906977823351277,-0.0010514067424342022,0.0,0.0,-0.0038759804172358026,0.0021186404609341222,2.0,-0.007759760915410557,0.07663468714871366,0.0069153085777846485
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,59,1.0883263700398231,-0.006816620891409331,1.0,-0.0004350145895079538,-0.0003004195221830708,0.0,-0.00018905481472268962,0.0,6.944368865829942e-05,0.0,0.0002710862640209477,0.29894609253944116,0.041724044453197454
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,60,0.08049015419177863,-0.000513960458578544,0.0,-4.7532256599217004e-05,-3.407505880637096e-05,0.0,0.0,-9.74814788442524e-05,9.28518676936163e-06,0.0,2.5556294104944755e-05,0.08569342312635855,0.007618879193129638
