controller,t_s,v_mps,P_dem_kw,SOC,engine_on,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_limit_kw,battery_limit_usage,delta_P_eng_on_kw,delta_SOC_ref,reward,SOC_tail_risk,battery_limit_proximity_risk,constraint_flags
baseline,106,27.540000915527344,74.69936851237732,0.4196101205381852,1.0,71.0,3.699368512377319,5.1838358926649395,31.660110158807417,0.16373398155163607,0.0,0.0,-1.5491638784733763,0.36373264471672795,9.235862882341848e-05,0.0
baseline,107,26.989999771118164,-13.054095712870788,0.423729981005762,1.0,0.0,-13.054095712870788,-11.12362326245727,41.21559517847259,0.26988869660354375,0.0,0.0,-1.3867242986673376,0.3744888274497653,9.150345633431275e-05,0.0
baseline,108,27.239999771118164,22.795656510001553,0.4272593653465654,1.0,34.15995821948298,-11.364301709481428,-9.529337720169185,41.05080075976952,0.23213524569070274,0.0,0.0,-1.3725456498842727,0.3844000555747096,9.066397508353924e-05,0.0
baseline,109,27.690000534057617,32.702294265500186,0.4306779800776114,1.0,43.74895138430931,-11.046657118809122,-9.230259773824137,40.909625386137385,0.22562562445149886,0.0,0.0,-1.3314718451783623,0.393509513237192,8.983975712823434e-05,0.0
baseline,110,27.8700008392334,20.47889686386793,0.43398937021632483,1.0,31.21787865688291,-10.738981793014979,-8.940753374526382,40.77288079689554,0.2192818657838652,0.0,0.0,-1.260520256198435,0.40185818965553716,8.903038994689889e-05,0.0
baseline,111,27.559999465942383,-2.3821153887002273,0.434373177722745,0.0,0.0,-2.3821153887002273,-1.0362802673343123,40.640425191347006,0.025498755548329078,0.0,0.0,-1.2604436685430147,0.40998924551169397,8.823547575094444e-05,0.0
baseline,112,27.15999984741211,-6.50653287073706,0.4361893410792785,0.0,0.0,-6.50653287073706,-4.90364106264053,40.6250728910902,0.12070479419905202,0.0,0.0,-1.1829319991566012,0.4176549440329571,8.745463083279448e-05,0.0
baseline,113,27.8799991607666,45.61039893351915,0.4235403825668795,0.0,0.0,30.684778948219492,34.15218798347734,34.15218798347734,1.0,0.0,0.0,-5.79701475412332,0.4274052721437418,0.0088586173095097,4.0
baseline,114,27.559999465942383,-2.82363514007793,0.4240762871826205,0.0,0.0,-2.82363514007793,-1.446942462500892,41.05838469732482,0.035241095653603935,0.0,0.0,-1.3753581820630725,0.43689282852812306,0.008781585854644398,0.0
baseline,115,27.559999465942383,11.773589410366547,0.41900416863051654,0.0,0.0,11.773589410366547,13.694720090680734,32.09296882104549,0.4267202628415043,0.0,0.0,-1.4614111899480082,0.4470913095527916,0.008705882528311257,0.0
baseline,116,27.860000610351562,26.04268126993306,0.40835417601036955,0.0,0.0,26.04268126993306,28.754980074396872,31.23070866718781,0.9207277484743075,0.0,0.0,-1.7267669874948672,0.4589359691274909,0.010531725661210746,0.0
baseline,117,27.389999389648438,-9.493665790332706,0.4112230705317677,0.0,0.0,-9.493665790332706,-7.746015207775085,41.66583295958522,0.18590808481588547,0.0,0.0,-1.5835292775748273,0.4700936184515345,0.010442473748827605,0.0
baseline,118,27.010000228881836,-5.694507385768357,0.4127574529013309,0.0,0.0,-5.694507385768357,-4.142832397820647,41.551077178729294,0.0997045727599436,0.0,0.0,-1.5575378865378342,0.4808058648676845,0.010354721868585355,0.0
baseline,119,27.290000915527344,24.23501510175082,0.4028197006941793,0.0,0.0,24.23501510175082,26.831930959309386,30.168766993226253,0.8893943516264327,0.0,0.0,-1.753207160211381,0.49299586587809063,0.01084321583081641,0.0
baseline,120,27.899999618530273,40.53608633711338,0.4070068276393015,1.0,53.782313274637254,-13.246226937523872,-11.305242751830022,41.887211972232826,0.26989723640055835,0.0,0.0,-1.8160191668175207,0.5042922921701227,0.01075360247684272,0.0
baseline,121,27.549999237060547,-4.153132909458814,0.408002214820162,1.0,0.0,-4.153132909458814,-2.687545388323329,41.71972689442794,0.0644190551660173,0.0,0.0,-1.6349941264872832,0.5152403529195213,0.01066545819424565,0.0
baseline,122,27.799999237060547,23.628091366351043,0.4120260882469689,1.0,36.407892032536466,-12.779800666185423,-10.864458252378506,41.67991140719352,0.2606641397635844,0.0,0.0,-1.6199856692483814,0.5253561080588799,0.01057874715201601,0.0
baseline,123,27.100000381469727,-19.55480045495451,0.41843649540371164,1.0,0.0,-19.55480045495451,-17.308099323205347,41.518956470121246,0.4168722143982826,0.0,0.0,-1.4738938587244423,0.5342747692190967,0.010493434674983624,0.0
baseline,124,27.3799991607666,24.372048042970977,0.4221321503357996,1.0,36.212763456636935,-11.840715413665958,-9.978268316637514,41.262540183851534,0.24182389819380531,0.0,0.0,-1.4576575696215572,0.542459427011616,0.010409487197583753,0.0
baseline,125,27.389999389648438,12.049308536206665,0.42571170617084353,1.0,23.557415005984705,-11.50810646977804,-9.66480075461863,41.11471398656802,0.23506914721031683,0.0,0.0,-1.382203774205095,0.5499459861351994,0.010326872219825154,0.0
baseline,126,27.530000686645508,18.171738257519337,0.42917888528625603,1.0,29.357684702143423,-11.185946444624086,-9.361383611613773,40.97153175316626,0.2284850775902546,0.0,0.0,-1.3350828617892065,0.5567686342307875,0.01024555826533834,0.0
baseline,127,27.920000076293945,30.330631751736203,0.4325372861190521,1.0,41.20453207597316,-10.87390032423696,-9.067682248549387,40.83284458854976,0.22206834571334574,0.0,0.0,-1.297958007298228,0.5629599283197575,0.010165514841390385,0.0
baseline,128,27.84000015258789,8.360775936905544,0.43579038757199,1.0,18.932420186190857,-10.571644249285313,-8.783373922932341,40.698508555237915,0.2158156216218866,0.0,0.0,-1.2141255286051182,0.5685508765386756,0.010086712400759451,0.0
baseline,129,27.8700008392334,13.504304697318158,0.4389402229801816,1.0,23.78316981583906,-10.278865118520901,-8.50455560211724,40.5683844971204,0.2096350571396528,0.0,0.0,-1.1704080545421773,0.5735712201068117,0.010009122305368994,0.0
baseline,130,27.889999389648438,13.061792445124283,0.44198842602319505,1.0,23.057172376907943,-9.99537993178366,-8.230148216136318,40.44239108079274,0.20350300751740302,0.0,0.0,-1.120486074223822,0.578049542697875,0.009932716791587552,0.0
baseline,131,27.889999389648438,12.131244609663778,0.44493849395845975,1.0,21.852286267576225,-9.721041657912448,-7.965183425214653,40.3204629590722,0.19754692383616265,0.0,0.0,-1.071470750213333,0.5820130319261547,0.009857468937105828,0.0
baseline,132,27.170000076293945,-20.433933131560863,0.4516609771648353,0.0,0.0,-20.433933131560863,-18.150704657213975,40.20246024166161,0.4514824353561449,0.0,0.0,-0.9684655338461177,0.584697193828808,0.00978335262930804,0.0
baseline,133,27.389999389648438,21.645548628753712,0.44274350331583856,0.0,0.0,21.645548628753712,24.077179392291185,36.782366118022,0.6545848441352515,0.0,0.0,-1.0857348187035003,0.5888795277083186,0.009710342535059473,0.0
baseline,134,27.09000015258789,-2.1910642664856286,0.4430623572785265,0.0,0.0,-2.1910642664856286,-0.8609056992574986,40.29025986736646,0.021367588645284433,0.0,0.0,-1.0713466458232799,0.5929526634618086,0.009638414071836809,0.0
baseline,135,27.68000030517578,39.149205515089285,0.4299806533017304,0.0,0.0,31.976759327123297,35.3206007373495,35.3206007373495,1.0,0.0,0.0,-5.694437787467254,0.598889680156688,0.016920484556602715,4.0
baseline,136,27.06999969482422,-15.647483692073427,0.43501069466300873,0.0,0.0,-15.647483692073427,-13.581111675451499,40.800773867930786,0.3328640706524978,0.0,0.0,-1.2052613300620414,0.6040057124675139,0.01679697737005817,0.0
baseline,137,27.329999923706055,23.38393694240624,0.42540827663999603,0.0,0.0,23.38393694240624,25.9265286621343,33.951818092711484,0.7636271080192907,0.0,0.0,-1.3638381852249177,0.6104392541684744,0.01667526014273891,0.0
baseline,138,27.1200008392334,1.8069499107491016,0.4242448873187329,0.0,0.0,1.8069499107491016,3.1411511674104826,32.31940702879932,0.09719086629935543,0.0,0.0,-1.3733382633672389,0.6169476210710418,0.016555294242431434,0.0
baseline,139,27.34000015258789,21.574271153247135,0.41535549758144086,0.0,0.0,21.574271153247135,24.001352290688445,32.12163084418459,0.7472021706218486,0.0,0.0,-1.5239125796132225,0.6246329241231857,0.01643704214069978,0.0
baseline,140,27.420000076293945,15.283899788817369,0.40890861436846804,0.0,0.0,15.283899788817369,17.406584675026657,30.610434588844942,0.5686487274300237,0.0,0.0,-1.6244248039745228,0.6331236673040896,0.016320467373744464,0.0
baseline,141,27.309999465942383,6.495763364862816,0.4058889918689816,0.0,0.0,6.495763364862816,8.152980748613428,29.514464442639564,0.27623678432175147,0.0,0.0,-1.6690373223957407,0.6419201214964578,0.016205534504915277,0.0
baseline,142,27.459999084472656,18.53870967684178,0.39817608508235025,0.0,0.0,18.53870967684178,20.824848323904675,29.001128617726867,0.7180702723126279,0.0,0.0,-1.7975125780119583,0.6516722765793707,0.016092209088796987,0.0
baseline,143,27.25,1.897386536657991,0.4025096214144835,1.0,15.561538879246473,-13.664152342588483,-11.700548096759736,42.05471744752949,0.27822201186723433,0.0,0.0,-1.833282537054267,0.66068710501778,0.015980457636791453,0.0
baseline,144,27.110000610351562,4.966088458735279,0.40670652102849203,1.0,18.24022253143177,-13.27413407269649,-11.331628957823003,41.89961514342066,0.2704470892879398,0.0,0.0,-1.679548117666857,0.6689987082895896,0.015870247584123927,0.0
baseline,145,27.399999618530273,24.85974016646368,0.4107711953633325,1.0,37.7561532738994,-12.89641310743572,-10.97462070406936,41.73173915886032,0.2629801902645908,0.0,0.0,-1.6420254753809704,0.6766396492789304,0.01576154725820527,0.0
baseline,146,27.459999084472656,14.415499762521671,0.41470790710521327,1.0,26.946092179821747,-12.530592417300076,-10.629121703078086,41.5691521854667,0.2556973415203357,0.0,0.0,-1.5636156126825849,0.6836410248477521,0.015654325848285505,0.0
baseline,147,27.149999618530273,-2.594923205233018,0.4151646771335531,1.0,0.0,-2.594923205233018,-1.2332790765175738,41.41168371579147,0.029780945034294487,0.0,0.0,-1.5198130229483038,0.6904860615537062,0.015548553376337631,0.0
baseline,148,27.790000915527344,41.69502842204523,0.418963182081361,1.0,53.83020748002546,-12.135179057980224,-10.255963359081461,41.39341291465788,0.24776800550914968,0.0,0.0,-1.53437081421319,0.6967293521363845,0.015444200669113888,0.0
baseline,149,27.729999542236328,9.180982475025052,0.4226422863230194,1.0,20.974296087702562,-11.79331361267751,-9.933581452477698,41.24147271674556,0.24086388768663677,0.0,0.0,-1.4277676225703677,0.7023988516124061,0.015341239331319796,0.0
baseline,150,27.219999313354492,-11.282325288833729,0.4261430768145718,0.0,0.0,-11.282325288833729,-9.452134327191509,41.09430854707922,0.2300107888751256,0.0,0.0,-1.3954916246977283,0.7075295775203277,0.015239641719854102,0.0
baseline,151,27.579999923706055,28.359961167217666,0.41458005034994705,0.0,0.0,28.359961167217666,31.22017145448688,32.4443230584772,0.9622691587127915,0.0,0.0,-1.7632848451706955,0.7141142447274378,0.01882486746821119,0.0
baseline,152,27.809999465942383,22.7151899972631,0.4052411260011436,0.0,0.0,22.7151899972631,25.215095741769257,30.478608559490993,0.8273046878945304,0.0,0.0,-1.686228022278411,0.7218336122780894,0.01870182911874576,0.0
baseline,153,27.229999542236328,-14.334554998721316,0.4098097804490738,0.0,0.0,-14.334554998721316,-12.335367009411462,41.79035495995426,0.2951725827940889,0.0,0.0,-1.6079776596185849,0.7288593965556247,0.018580388669922735,0.0
baseline,154,27.049999237060547,3.1125607888827154,0.4081237558108289,0.0,0.0,3.1125607888827154,4.5522665232612916,29.66766267634254,0.15344203461270106,0.0,0.0,-1.631840813636043,0.7360120771183847,0.01846051519463291,0.0
baseline,155,27.790000915527344,46.33143911836743,0.4121438024546345,1.0,59.10030109539283,-12.768861977025402,-10.85412593827522,41.67504976756685,0.26044662211111086,0.0,0.0,-1.7418477650180586,0.742557666052929,0.018342178558769878,0.0
baseline,156,27.940000534057617,19.17821866514846,0.41603732380996217,1.0,31.58527644423136,-12.407057779082901,-10.512507659384635,41.51424790181462,0.253226499110565,0.0,0.0,-1.548892253851493,0.7485238817073738,0.018225349395975168,0.0
baseline,157,27.65999984741211,-0.9988586619108729,0.41596259773072103,1.0,0.0,-0.9988586619108729,0.20176041395100675,30.726345047693567,0.006566365561469591,0.0,0.0,-1.50663368592859,0.754424034642046,0.01810999908334241,0.0
baseline,158,27.34000015258789,-2.935742947848484,0.416537563915087,1.0,0.0,-2.935742947848484,-1.5524086977881286,41.36149609077116,0.037532701776097306,0.0,0.0,-1.4979744862922695,0.7601776490260475,0.017996099718038373,0.0
baseline,159,27.920000076293945,39.18101175480126,0.4202929044753058,1.0,51.192631002443434,-12.011619247642173,-10.13941951259073,41.33849744339652,0.24527789202968278,0.0,0.0,-1.5090487624727877,0.7653899256602215,0.017883624094800633,0.0
baseline,160,27.110000610351562,-24.334269123551465,0.42837594631832004,0.0,0.0,-24.334269123551465,-21.824212976138377,41.18828382098777,0.5298645865166565,0.0,0.0,-1.3647145440973352,0.7695333489395592,0.01777254568427392,0.0
baseline,161,27.440000534057617,26.752831304524122,0.4174461467499496,0.0,0.0,26.752831304524122,29.510458834600133,32.823910874114404,0.89905370958927,0.0,0.0,-1.5354439053029747,0.7749749768164816,0.018322994009808153,0.0
baseline,162,27.5,14.46216748009887,0.4113202093892806,0.0,0.0,14.46216748009887,16.54003087380631,30.965844947491433,0.5341378832663253,0.0,0.0,-1.5854926621210337,0.7811014850091069,0.01821058300361301,0.0
baseline,163,27.489999771118164,11.240064785781604,0.40645789496478457,0.0,0.0,11.240064785781604,13.128248946139351,29.924435596177698,0.43871333525890277,0.0,0.0,-1.6619249801419034,0.7877462448609069,0.018099542863347078,0.0
baseline,164,27.149999618530273,-3.9000264076541677,0.4073654041096599,0.0,0.0,-3.9000264076541677,-2.4502746911633526,41.74168420140862,0.05870090625333861,0.0,0.0,-1.6431336441219078,0.794200461060579,0.017989848664175277,0.0
