split,task_idx,task_key,stage,time_s,delta_P_eng_on_kw,delta_SOC_ref
heldout_evaluation,14,heldout_evaluation:014,13,130,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,14,140,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,15,150,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,16,160,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,17,170,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,18,180,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,19,190,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,20,200,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,21,210,0.0,0.0
heldout_evaluation,14,heldout_evaluation:014,22,220,1.0,0.0
heldout_evaluation,14,heldout_evaluation:014,23,230,2.0,0.0
heldout_evaluation,15,heldout_evaluation:015,0,0,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,1,10,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,2,20,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,3,30,-1.0,0.0
heldout_evaluation,15,heldout_evaluation:015,4,40,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,5,50,-1.0,0.0
heldout_evaluation,15,heldout_evaluation:015,6,60,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,7,70,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,8,80,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,9,90,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,10,100,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,11,110,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,12,120,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,13,130,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,14,140,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,15,150,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,16,160,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,17,170,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,18,180,0.0,0.0
heldout_evaluation,15,heldout_evaluation:015,19,190,0.0,0.0
