split,task_key,controller_group,seed,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,raw_action_magnitude_mean_delta,action_magnitude_mean_delta,raw_action_saturation_ratio_delta,final_action_saturation_ratio_delta,confidence_mean_delta,confidence_min_delta,confidence_p5_delta,confidence_p50_delta,confidence_p95_delta,distribution_confidence_mean_delta,safety_margin_confidence_mean_delta,stability_confidence_mean_delta,distribution_risk_mean_delta,distribution_risk_max_delta,action_attenuation_ratio_mean_delta,fallback_activation_ratio_delta,direction_suppression_ratio_delta
meta_validation,meta_validation:005,gate_current,20260708_step_90000,0.024783789524981614,-0.0010377413095342403,0.0,-0.0002932973051199342,-0.0015456639659432447,0.0,-1.7148576967487383e-06,6.563786130216187e-05,0.0,0.0008437254784253723,0.49053656675532387,0.4416686776740021,0.0,0.0,-0.10297717743141244,-1.0,-0.3326321147384933,-0.06169057779355391,-0.02004487559373036,-0.07802837818125319,-0.023784088694552397,-0.04958300971801011,0.9050547165727437,3.300737766506147,-0.10788251869479171,0.0,0.04583333333333333
meta_validation,meta_validation:006,gate_current,20260708_step_90000,0.17840639401739367,-0.002006800759426386,-3.0,-0.00025613007688768397,0.001296976525125615,0.0,0.0,7.975148783347097e-05,0.0,0.0011178093561616254,0.44312321331378995,0.39705571369641446,0.0,0.0,-0.2609632091023002,-1.0,-0.9615972222222227,-0.0556610132989499,-0.018468662703704397,-0.0674345703484337,-0.22410365179201852,-0.03328036373249543,0.8887779782279702,14.67755645452936,-0.11693613685821469,0.0,0.2875
meta_validation,meta_validation:007,gate_current,20260708_step_90000,6.061013053487301,-0.03311532106012771,-2.0,-0.0014287943536131498,-0.0026428660222889144,0.0,0.0,0.0001454771038816305,0.0,0.001982149516716547,0.5367100158483694,0.45187938489099616,0.0,0.0,-0.6476976364302556,-1.0,-1.0,-0.6749575200952259,-0.1136230815415763,-0.0658379146402498,-0.6473683275638696,-0.04528416759668363,0.8969712340351907,1.9077338799744041,-0.16809437311422637,0.0,0.6083333333333333
heldout_evaluation,heldout_evaluation:000,gate_current,20260708_step_90000,3.3562700297952404,-0.01568878281641406,-6.0,-0.0010546476173533686,-0.002307344392348365,0.0,0.0,0.0001314791727420328,0.0,0.0017305082942613847,0.6913206014518788,0.592308580689404,0.0,0.0,-0.5244837588386513,-1.0,-1.0,-0.38240740740740164,-0.0790244274349794,-0.13031092401180877,-0.4831370888103763,-0.0404251483728324,1.3276701538307043,10.153591698589802,-0.1536717277574079,0.0,0.2625
heldout_evaluation,heldout_evaluation:001,gate_current,20260708_step_90000,29.03144230308402,-0.14650567860178643,0.0,-0.006615213226390873,-0.05804682242169079,0.0,0.0,0.003257188048545412,2.0,0.023110105241767598,0.9293724201926682,0.7215941427532583,0.0,0.0,-0.9773896910544726,-1.0,-1.0,-1.0,-0.9168508613057672,-0.2255733779299567,-0.9764468599332501,-0.07622272502658578,1.8495708319062023,13.883966111058854,-0.2517042947270576,0.0,0.15416666666666667
heldout_evaluation,heldout_evaluation:002,gate_current,20260708_step_90000,-0.031890692526623354,-0.0008847091277044278,-1.0,-0.0001870046384462587,-0.0044905444408930295,0.0,0.0,9.446435289690164e-05,0.0,0.002201241664003012,0.4497057568684282,0.3889080003947966,0.0,0.0,-0.1696307309233661,-0.9999989217947582,-0.38489590273407326,-0.12438899011574112,-0.08719366930012318,-0.1332419395200668,-0.05967678322155989,-0.03246607736841045,1.3584686947474187,13.105443865210406,-0.1373973576879448,0.0,0.1125
heldout_evaluation,heldout_evaluation:003,gate_current,20260708_step_90000,2.446948629156779,-0.012049955486027303,-7.0,-0.001133329272601874,-0.001987309745580479,0.0,-0.0004128568201402904,0.00014234686279007702,0.0,0.0014904823091853592,0.47020388387886747,0.3907640395506116,0.0,0.0,-0.3011950692968214,-0.9386616246859381,-0.7963985303123803,-0.15708994242697305,-0.10544476689374305,-0.13368350993867362,-0.2311970330600428,-0.043927589965065184,1.3283786604225207,2.754600327080102,-0.16110120675528705,0.0,0.32083333333333336
heldout_evaluation,heldout_evaluation:004,gate_current,20260708_step_90000,0.4137838746639204,-0.0021870988986180118,-1.0,-0.0002767595447627641,-0.00034039503839711216,0.0,-1.4128645635228844e-05,2.0712065329192564e-05,0.0,0.00023459487818883185,0.3222230438021873,0.19158273226795958,0.0,0.0,-0.4749952352405734,-1.0,-0.8877519110347362,-0.574095908599446,-0.03847873278010938,-0.44040712611520294,-0.15766010430271005,-0.05418002065289307,2.7704027851648996,7.1502226041680546,-0.4517070222716796,0.0,0.0375
heldout_evaluation,heldout_evaluation:005,gate_current,20260708_step_90000,-29.403128330717777,0.0971600991527719,0.0,0.004718056208743715,0.01867930041829352,2.0,0.01490812225965591,0.0029642632057273743,2.0,0.04218479116223156,0.91214372700366,0.7331052358080316,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.15717267366435705,-1.0,-0.06914995411837677,1.4430199300762894,3.047114565188386,-0.22305222266797387,0.0,0.3416666666666667
heldout_evaluation,heldout_evaluation:006,gate_current,20260708_step_90000,-0.34168303079254514,8.838488361655877e-05,0.0,2.223894048179742e-05,-0.0011311966208762403,0.0,0.0,9.254065692576585e-05,0.0,-0.000663179393920077,0.41119249589129847,0.34221337487372055,0.0,0.0,-0.1708382558239392,-1.0,-0.4848672447085157,-0.12384733099479461,-0.07981062204350409,-0.1357678537212601,-0.04863605096091528,-0.04192770078580221,1.3310379818966755,2.4248239009210355,-0.16813275296915164,0.0,0.075
